entropy,auroc,snr,lr_type,bn,activation,method,trial,path,kmer_length,index
0.099,0.9757769107818604,1.336291345339481,fixedlr,nobn,exponential,adversarial,2,/fixedlr/nobn/exponential/adversarial/saliency/2,6,43
0.108,0.977088212966919,1.3324340723053392,fixedlr,nobn,exponential,adversarial,3,/fixedlr/nobn/exponential/adversarial/saliency/3,6,44
0.11,0.9778352975845336,1.1683249517050025,fixedlr,nobn,exponential,adversarial,4,/fixedlr/nobn/exponential/adversarial/saliency/4,6,45
1.059,0.98053377866745,1.4823979,fixedlr,bn,exponential,gn,12,/fixedlr/bn/exponential/gn/saliency/12,6,46
0.112,0.9753980040550232,1.1501729944345498,fixedlr,nobn,exponential,adversarial,5,/fixedlr/nobn/exponential/adversarial/saliency/5,6,47
0.11,0.9790123105049132,1.3284508920746203,fixedlr,nobn,exponential,adversarial,6,/fixedlr/nobn/exponential/adversarial/saliency/6,6,48
0.103,0.9782519340515136,1.1531621525900306,fixedlr,nobn,exponential,adversarial,7,/fixedlr/nobn/exponential/adversarial/saliency/7,6,49
0.105,0.9770023226737976,1.2366458692730826,fixedlr,nobn,exponential,adversarial,8,/fixedlr/nobn/exponential/adversarial/saliency/8,6,50
0.101,0.97488135099411,0.9715569946522574,fixedlr,nobn,exponential,adversarial,9,/fixedlr/nobn/exponential/adversarial/saliency/9,6,51
1.222,0.9756141304969788,3.7753673,fixedlr,nobn,exponential,gn,0,/fixedlr/nobn/exponential/gn/saliency/0,6,52
1.243,0.97641259431839,3.218105,fixedlr,nobn,exponential,gn,1,/fixedlr/nobn/exponential/gn/saliency/1,6,53
1.091,0.983641505241394,1.5700395,fixedlr,nobn,exponential,gn,10,/fixedlr/nobn/exponential/gn/saliency/10,6,54
0.706,0.9850965738296508,2.04264154108842,fixedlr,nobn,exponential,gn,11,/fixedlr/nobn/exponential/gn/saliency/11,6,55
1.034,0.98226135969162,1.3899807,fixedlr,nobn,exponential,gn,12,/fixedlr/nobn/exponential/gn/saliency/12,6,56
0.314,0.981883704662323,1.3174010506988378,fixedlr,bn,exponential,gn,13,/fixedlr/bn/exponential/gn/saliency/13,6,57
1.332,0.97007417678833,4.185781,fixedlr,nobn,exponential,gn,2,/fixedlr/nobn/exponential/gn/saliency/2,6,58
1.258,0.9746780395507812,3.872765,fixedlr,nobn,exponential,gn,3,/fixedlr/nobn/exponential/gn/saliency/3,6,59
1.256,0.9783374667167664,3.9332716,fixedlr,nobn,exponential,gn,4,/fixedlr/nobn/exponential/gn/saliency/4,6,60
1.093,0.98430335521698,1.6786155,fixedlr,nobn,exponential,gn,5,/fixedlr/nobn/exponential/gn/saliency/5,6,61
1.135,0.9826041460037231,1.6667268,fixedlr,nobn,exponential,gn,6,/fixedlr/nobn/exponential/gn/saliency/6,6,62
1.126,0.9839455485343932,1.7700542,fixedlr,nobn,exponential,gn,7,/fixedlr/nobn/exponential/gn/saliency/7,6,63
1.088,0.981988489627838,1.6739017,fixedlr,nobn,exponential,gn,8,/fixedlr/nobn/exponential/gn/saliency/8,6,64
1.039,0.9830379486083984,1.5971239,fixedlr,nobn,exponential,gn,9,/fixedlr/nobn/exponential/gn/saliency/9,6,65
1.345,0.9790430665016174,3.7759223,fixedlr,nobn,exponential,manifold-gn,0,/fixedlr/nobn/exponential/manifold-gn/saliency/0,6,66
1.353,0.977435827255249,3.9025314,fixedlr,nobn,exponential,manifold-gn,1,/fixedlr/nobn/exponential/manifold-gn/saliency/1,6,67
1.057,0.985213816165924,1.4200739,fixedlr,bn,exponential,gn,14,/fixedlr/bn/exponential/gn/saliency/14,6,68
0.103,0.973998248577118,1.1127548942374064,fixedlr,nobn,exponential,manifold-gn,10,/fixedlr/nobn/exponential/manifold-gn/saliency/10,6,69
0.102,0.9769884943962096,1.0343700535652258,fixedlr,nobn,exponential,manifold-gn,11,/fixedlr/nobn/exponential/manifold-gn/saliency/11,6,70
0.103,0.9764996767044068,1.044576239528148,fixedlr,nobn,exponential,manifold-gn,12,/fixedlr/nobn/exponential/manifold-gn/saliency/12,6,71
0.105,0.9731032252311708,0.9011859413865968,fixedlr,nobn,exponential,manifold-gn,13,/fixedlr/nobn/exponential/manifold-gn/saliency/13,6,72
0.1,0.9762969613075256,1.1103674231721468,fixedlr,nobn,exponential,manifold-gn,14,/fixedlr/nobn/exponential/manifold-gn/saliency/14,6,73
1.406,0.977290153503418,4.053274,fixedlr,nobn,exponential,manifold-gn,2,/fixedlr/nobn/exponential/manifold-gn/saliency/2,6,74
1.423,0.9798808097839355,4.150031,fixedlr,nobn,exponential,manifold-gn,3,/fixedlr/nobn/exponential/manifold-gn/saliency/3,6,75
1.391,0.9770184755325316,4.1880136,fixedlr,nobn,exponential,manifold-gn,4,/fixedlr/nobn/exponential/manifold-gn/saliency/4,6,76
0.095,0.9719790816307068,0.973332420146284,fixedlr,nobn,exponential,manifold-gn,5,/fixedlr/nobn/exponential/manifold-gn/saliency/5,6,77
0.103,0.9723750948905944,0.8657646803712042,fixedlr,nobn,exponential,manifold-gn,6,/fixedlr/nobn/exponential/manifold-gn/saliency/6,6,78
1.494,0.9791265726089478,6.0467043,fixedlr,bn,exponential,gn,2,/fixedlr/bn/exponential/gn/saliency/2,6,79
0.102,0.9753509163856506,0.8469394323762245,fixedlr,nobn,exponential,manifold-gn,7,/fixedlr/nobn/exponential/manifold-gn/saliency/7,6,80
0.099,0.9774388074874878,1.0663311736321444,fixedlr,nobn,exponential,manifold-gn,8,/fixedlr/nobn/exponential/manifold-gn/saliency/8,6,81
0.098,0.9750341176986694,0.997328751523077,fixedlr,nobn,exponential,manifold-gn,9,/fixedlr/nobn/exponential/manifold-gn/saliency/9,6,82
1.568,0.9766374826431274,3.0884416,fixedlr,nobn,exponential,manifold-mixup,0,/fixedlr/nobn/exponential/manifold-mixup/saliency/0,6,83
1.567,0.9856120944023132,2.4430044,fixedlr,nobn,exponential,manifold-mixup,1,/fixedlr/nobn/exponential/manifold-mixup/saliency/1,6,84
1.195,0.9766556024551392,1.2287414,fixedlr,nobn,exponential,manifold-mixup,10,/fixedlr/nobn/exponential/manifold-mixup/saliency/10,6,85
0.979,0.9705720543861388,0.9762974,fixedlr,nobn,exponential,manifold-mixup,11,/fixedlr/nobn/exponential/manifold-mixup/saliency/11,6,86
0.986,0.9734641313552856,0.7373712,fixedlr,nobn,exponential,manifold-mixup,12,/fixedlr/nobn/exponential/manifold-mixup/saliency/12,6,87
1.214,0.9779484272003174,1.0208244,fixedlr,nobn,exponential,manifold-mixup,13,/fixedlr/nobn/exponential/manifold-mixup/saliency/13,6,88
1.054,0.9737780094146729,0.90302354,fixedlr,nobn,exponential,manifold-mixup,14,/fixedlr/nobn/exponential/manifold-mixup/saliency/14,6,89
1.491,0.9779198169708252,5.0319333,fixedlr,bn,exponential,gn,3,/fixedlr/bn/exponential/gn/saliency/3,6,90
1.569,0.980443000793457,2.4248517,fixedlr,nobn,exponential,manifold-mixup,2,/fixedlr/nobn/exponential/manifold-mixup/saliency/2,6,91
1.566,0.9825270175933838,2.958544,fixedlr,nobn,exponential,manifold-mixup,3,/fixedlr/nobn/exponential/manifold-mixup/saliency/3,6,92
1.509,0.982363224029541,2.0449824,fixedlr,nobn,exponential,manifold-mixup,4,/fixedlr/nobn/exponential/manifold-mixup/saliency/4,6,93
1.185,0.9758237600326538,0.98080087,fixedlr,nobn,exponential,manifold-mixup,5,/fixedlr/nobn/exponential/manifold-mixup/saliency/5,6,94
1.208,0.975941002368927,1.112151,fixedlr,nobn,exponential,manifold-mixup,6,/fixedlr/nobn/exponential/manifold-mixup/saliency/6,6,95
1.047,0.9712637066841124,0.8140424,fixedlr,nobn,exponential,manifold-mixup,7,/fixedlr/nobn/exponential/manifold-mixup/saliency/7,6,96
1.232,0.9748793840408324,1.0989443,fixedlr,nobn,exponential,manifold-mixup,8,/fixedlr/nobn/exponential/manifold-mixup/saliency/8,6,97
1.107,0.9770532250404358,0.83802265,fixedlr,nobn,exponential,manifold-mixup,9,/fixedlr/nobn/exponential/manifold-mixup/saliency/9,6,98
1.466,0.974424123764038,2.8953204,fixedlr,nobn,exponential,mixup,0,/fixedlr/nobn/exponential/mixup/saliency/0,6,99
1.479,0.9751653671264648,3.190739,fixedlr,nobn,exponential,mixup,1,/fixedlr/nobn/exponential/mixup/saliency/1,6,100
1.517,0.9763250350952148,6.914149,fixedlr,bn,exponential,gn,4,/fixedlr/bn/exponential/gn/saliency/4,6,101
0.106,0.9797279834747314,1.4299904188655024,fixedlr,nobn,exponential,mixup,10,/fixedlr/nobn/exponential/mixup/saliency/10,6,102
0.102,0.9761322140693665,1.299975848074404,fixedlr,nobn,exponential,mixup,11,/fixedlr/nobn/exponential/mixup/saliency/11,6,103
0.098,0.9768434166908264,1.1749019894372537,fixedlr,nobn,exponential,mixup,12,/fixedlr/nobn/exponential/mixup/saliency/12,6,104
0.101,0.9782801270484924,1.4555681446014268,fixedlr,nobn,exponential,mixup,13,/fixedlr/nobn/exponential/mixup/saliency/13,6,105
0.096,0.975134253501892,1.21487836740437,fixedlr,nobn,exponential,mixup,14,/fixedlr/nobn/exponential/mixup/saliency/14,6,106
1.455,0.9742035269737244,2.998956,fixedlr,nobn,exponential,mixup,2,/fixedlr/nobn/exponential/mixup/saliency/2,6,107
1.462,0.9766848087310792,3.2724137,fixedlr,nobn,exponential,mixup,3,/fixedlr/nobn/exponential/mixup/saliency/3,6,108
1.453,0.97329181432724,3.6120112,fixedlr,nobn,exponential,mixup,4,/fixedlr/nobn/exponential/mixup/saliency/4,6,109
0.101,0.9772421717643738,1.2839925969806252,fixedlr,nobn,exponential,mixup,5,/fixedlr/nobn/exponential/mixup/saliency/5,6,110
0.095,0.9780647158622742,1.3310732916224208,fixedlr,nobn,exponential,mixup,6,/fixedlr/nobn/exponential/mixup/saliency/6,6,111
0.112,0.9759281873703004,1.4327861464000078,fixedlr,bn,exponential,adversarial,11,/fixedlr/bn/exponential/adversarial/saliency/11,6,112
1.026,0.9839637875556946,1.2212609,fixedlr,bn,exponential,gn,5,/fixedlr/bn/exponential/gn/saliency/5,6,113
0.095,0.9753803014755248,1.227703899768865,fixedlr,nobn,exponential,mixup,7,/fixedlr/nobn/exponential/mixup/saliency/7,6,114
0.101,0.977453112602234,1.3239443256587964,fixedlr,nobn,exponential,mixup,8,/fixedlr/nobn/exponential/mixup/saliency/8,6,115
0.095,0.9769742488861084,1.2653132832265364,fixedlr,nobn,exponential,mixup,9,/fixedlr/nobn/exponential/mixup/saliency/9,6,116
1.355,0.984512448310852,1.9929743,fixedlr,nobn,exponential,sn,1,/fixedlr/nobn/exponential/sn/saliency/1,6,117
1.336,0.9841626286506652,1.9006275,fixedlr,nobn,exponential,sn,10,/fixedlr/nobn/exponential/sn/saliency/10,6,118
1.294,0.9832105040550232,1.7254503,fixedlr,nobn,exponential,sn,11,/fixedlr/nobn/exponential/sn/saliency/11,6,119
1.204,0.9844708442687988,1.4359716,fixedlr,nobn,exponential,sn,12,/fixedlr/nobn/exponential/sn/saliency/12,6,120
1.235,0.9838265776634216,1.9093602,fixedlr,nobn,exponential,sn,13,/fixedlr/nobn/exponential/sn/saliency/13,6,121
1.233,0.9819621443748474,1.54693,fixedlr,nobn,exponential,sn,2,/fixedlr/nobn/exponential/sn/saliency/2,6,122
1.308,0.9808136224746704,2.0413465,fixedlr,nobn,exponential,sn,3,/fixedlr/nobn/exponential/sn/saliency/3,6,123
1.162,0.9811482429504396,1.718425,fixedlr,bn,exponential,gn,6,/fixedlr/bn/exponential/gn/saliency/6,6,124
1.268,0.9834311008453368,1.8948766,fixedlr,nobn,exponential,sn,4,/fixedlr/nobn/exponential/sn/saliency/4,6,125
1.272,0.9823654890060424,1.6956841,fixedlr,nobn,exponential,sn,5,/fixedlr/nobn/exponential/sn/saliency/5,6,126
1.202,0.9813849925994872,1.657752,fixedlr,nobn,exponential,sn,6,/fixedlr/nobn/exponential/sn/saliency/6,6,127
1.226,0.9836371541023254,1.817315,fixedlr,nobn,exponential,sn,7,/fixedlr/nobn/exponential/sn/saliency/7,6,128
1.27,0.9834655523300172,1.6749178,fixedlr,nobn,exponential,sn,8,/fixedlr/nobn/exponential/sn/saliency/8,6,129
1.311,0.9844159483909608,1.8719665,fixedlr,nobn,exponential,sn,9,/fixedlr/nobn/exponential/sn/saliency/9,6,130
1.44,0.9789289236068726,3.0705621,fixedlr,nobn,exponential,standard,0,/fixedlr/nobn/exponential/standard/saliency/0,6,131
1.464,0.9765371084213256,3.0847752,fixedlr,nobn,exponential,standard,1,/fixedlr/nobn/exponential/standard/saliency/1,6,132
0.102,0.9799244403839112,1.1012819751985368,fixedlr,nobn,exponential,standard,10,/fixedlr/nobn/exponential/standard/saliency/10,6,133
0.102,0.9778575301170348,1.2974028205930284,fixedlr,nobn,exponential,standard,11,/fixedlr/nobn/exponential/standard/saliency/11,6,134
1.06,0.9823376536369324,1.3844275,fixedlr,bn,exponential,gn,7,/fixedlr/bn/exponential/gn/saliency/7,6,135
0.107,0.9704842567443848,0.9412083682630736,fixedlr,nobn,exponential,standard,12,/fixedlr/nobn/exponential/standard/saliency/12,6,136
0.107,0.9740692973136902,0.9194039036705308,fixedlr,nobn,exponential,standard,13,/fixedlr/nobn/exponential/standard/saliency/13,6,137
0.1,0.977241039276123,1.1142525594716592,fixedlr,nobn,exponential,standard,14,/fixedlr/nobn/exponential/standard/saliency/14,6,138
1.424,0.975023865699768,3.067928,fixedlr,nobn,exponential,standard,2,/fixedlr/nobn/exponential/standard/saliency/2,6,139
1.363,0.9744603633880616,2.8444402,fixedlr,nobn,exponential,standard,3,/fixedlr/nobn/exponential/standard/saliency/3,6,140
1.463,0.9768744707107544,3.031534,fixedlr,nobn,exponential,standard,4,/fixedlr/nobn/exponential/standard/saliency/4,6,141
0.102,0.9775769710540771,1.161642118901276,fixedlr,nobn,exponential,standard,5,/fixedlr/nobn/exponential/standard/saliency/5,6,142
0.11,0.974898397922516,0.9017198411871696,fixedlr,nobn,exponential,standard,6,/fixedlr/nobn/exponential/standard/saliency/6,6,143
0.113,0.9773744940757751,1.1744916592295551,fixedlr,nobn,exponential,standard,7,/fixedlr/nobn/exponential/standard/saliency/7,6,144
0.101,0.9752749800682068,1.034188552597508,fixedlr,nobn,exponential,standard,8,/fixedlr/nobn/exponential/standard/saliency/8,6,145
0.145,0.9821520447731018,1.0874500191381062,fixedlr,bn,exponential,gn,8,/fixedlr/bn/exponential/gn/saliency/8,6,146
0.113,0.9717898368835448,1.0749527971051152,fixedlr,nobn,exponential,standard,9,/fixedlr/nobn/exponential/standard/saliency/9,6,147
0.122,0.9740104675292968,0.4366203171326505,fixedlr,nobn,relu,adversarial,0,/fixedlr/nobn/relu/adversarial/saliency/0,6,148
0.127,0.9715432524681092,0.463714657910546,fixedlr,nobn,relu,adversarial,1,/fixedlr/nobn/relu/adversarial/saliency/1,6,149
0.127,0.9723418354988098,0.5033101355874842,fixedlr,nobn,relu,adversarial,10,/fixedlr/nobn/relu/adversarial/saliency/10,6,150
0.123,0.9766064286231996,0.5339928448564433,fixedlr,nobn,relu,adversarial,11,/fixedlr/nobn/relu/adversarial/saliency/11,6,151
0.13,0.9708206057548524,0.4550979307663866,fixedlr,nobn,relu,adversarial,12,/fixedlr/nobn/relu/adversarial/saliency/12,6,152
0.121,0.9752979278564452,0.4813717206299828,fixedlr,nobn,relu,adversarial,13,/fixedlr/nobn/relu/adversarial/saliency/13,6,153
0.128,0.9711669087409972,0.4520245901383204,fixedlr,nobn,relu,adversarial,14,/fixedlr/nobn/relu/adversarial/saliency/14,6,154
0.142,0.9724620580673218,0.4412854658964436,fixedlr,nobn,relu,adversarial,2,/fixedlr/nobn/relu/adversarial/saliency/2,6,155
0.13,0.9724551439285278,0.4198324237480194,fixedlr,nobn,relu,adversarial,3,/fixedlr/nobn/relu/adversarial/saliency/3,6,156
1.07,0.9808894395828248,1.2105635,fixedlr,bn,exponential,gn,9,/fixedlr/bn/exponential/gn/saliency/9,6,157
0.127,0.9725208282470704,0.4574067158073873,fixedlr,nobn,relu,adversarial,4,/fixedlr/nobn/relu/adversarial/saliency/4,6,158
0.133,0.9727109670639038,0.4021637348110404,fixedlr,nobn,relu,adversarial,5,/fixedlr/nobn/relu/adversarial/saliency/5,6,159
0.122,0.9735925793647766,0.4779312913680489,fixedlr,nobn,relu,adversarial,6,/fixedlr/nobn/relu/adversarial/saliency/6,6,160
0.115,0.9701362252235411,0.4856821135059926,fixedlr,nobn,relu,adversarial,7,/fixedlr/nobn/relu/adversarial/saliency/7,6,161
0.108,0.9716829657554626,0.5888974951502588,fixedlr,nobn,relu,adversarial,8,/fixedlr/nobn/relu/adversarial/saliency/8,6,162
1.218,0.9774792194366456,2.139758,fixedlr,nobn,relu,gn,1,/fixedlr/nobn/relu/gn/saliency/1,6,163
0.117,0.9837049245834352,0.5502637446993117,fixedlr,nobn,relu,gn,10,/fixedlr/nobn/relu/gn/saliency/10,6,164
0.114,0.9833288788795472,0.5238780697755946,fixedlr,nobn,relu,gn,11,/fixedlr/nobn/relu/gn/saliency/11,6,165
0.127,0.9858996868133544,0.5684562137397496,fixedlr,nobn,relu,gn,12,/fixedlr/nobn/relu/gn/saliency/12,6,166
0.137,0.9835054874420166,0.5984479317855187,fixedlr,nobn,relu,gn,13,/fixedlr/nobn/relu/gn/saliency/13,6,167
1.5,0.9776517748832704,5.0456367,fixedlr,bn,exponential,manifold-gn,0,/fixedlr/bn/exponential/manifold-gn/saliency/0,6,168
0.19,0.9853110313415528,0.583716209069292,fixedlr,nobn,relu,gn,14,/fixedlr/nobn/relu/gn/saliency/14,6,169
1.143,0.9760520458221436,1.6987631,fixedlr,nobn,relu,gn,2,/fixedlr/nobn/relu/gn/saliency/2,6,170
1.186,0.9763898253440856,2.1560469,fixedlr,nobn,relu,gn,3,/fixedlr/nobn/relu/gn/saliency/3,6,171
1.119,0.9760023355484008,1.6154568,fixedlr,nobn,relu,gn,4,/fixedlr/nobn/relu/gn/saliency/4,6,172
0.113,0.9834601879119872,0.5620812195247171,fixedlr,nobn,relu,gn,5,/fixedlr/nobn/relu/gn/saliency/5,6,173
0.134,0.9859694838523864,0.5771749607380587,fixedlr,nobn,relu,gn,6,/fixedlr/nobn/relu/gn/saliency/6,6,174
0.127,0.9846916198730468,0.4937437365346254,fixedlr,nobn,relu,gn,7,/fixedlr/nobn/relu/gn/saliency/7,6,175
0.111,0.9836745262145996,0.6117507154170756,fixedlr,nobn,relu,gn,8,/fixedlr/nobn/relu/gn/saliency/8,6,176
0.116,0.9843723177909852,0.5208213238756623,fixedlr,nobn,relu,gn,9,/fixedlr/nobn/relu/gn/saliency/9,6,177
1.086,0.9816348552703856,1.2541028,fixedlr,nobn,relu,manifold-gn,0,/fixedlr/nobn/relu/manifold-gn/saliency/0,6,178
1.283,0.9722763299942015,2.1482801,fixedlr,bn,exponential,manifold-gn,1,/fixedlr/bn/exponential/manifold-gn/saliency/1,6,179
1.228,0.9798142910003662,1.5984683,fixedlr,nobn,relu,manifold-gn,1,/fixedlr/nobn/relu/manifold-gn/saliency/1,6,180
0.119,0.9765583872795104,0.4319168120292717,fixedlr,nobn,relu,manifold-gn,10,/fixedlr/nobn/relu/manifold-gn/saliency/10,6,181
0.12,0.9701329469680786,0.4309519917842905,fixedlr,nobn,relu,manifold-gn,11,/fixedlr/nobn/relu/manifold-gn/saliency/11,6,182
0.133,0.9721789360046388,0.4014349705314738,fixedlr,nobn,relu,manifold-gn,12,/fixedlr/nobn/relu/manifold-gn/saliency/12,6,183
0.131,0.9700273871421814,0.4473067119146686,fixedlr,nobn,relu,manifold-gn,13,/fixedlr/nobn/relu/manifold-gn/saliency/13,6,184
0.142,0.9727526307106018,0.3744345281578153,fixedlr,nobn,relu,manifold-gn,14,/fixedlr/nobn/relu/manifold-gn/saliency/14,6,185
1.053,0.9831018447875975,1.1597172,fixedlr,nobn,relu,manifold-gn,2,/fixedlr/nobn/relu/manifold-gn/saliency/2,6,186
1.169,0.9815077185630798,1.3730308,fixedlr,nobn,relu,manifold-gn,3,/fixedlr/nobn/relu/manifold-gn/saliency/3,6,187
1.206,0.9790019989013672,1.7068577,fixedlr,nobn,relu,manifold-gn,4,/fixedlr/nobn/relu/manifold-gn/saliency/4,6,188
0.136,0.9703515768051147,0.4175706550034664,fixedlr,nobn,relu,manifold-gn,6,/fixedlr/nobn/relu/manifold-gn/saliency/6,6,189
0.109,0.9773750901222228,1.5016108409595423,fixedlr,bn,exponential,manifold-gn,10,/fixedlr/bn/exponential/manifold-gn/saliency/10,6,190
0.131,0.9722691178321838,0.4126703546739707,fixedlr,nobn,relu,manifold-gn,8,/fixedlr/nobn/relu/manifold-gn/saliency/8,6,191
1.405,0.9861302375793456,0.9059723,fixedlr,nobn,relu,manifold-mixup,0,/fixedlr/nobn/relu/manifold-mixup/saliency/0,6,192
0.965,0.9739030003547668,1.1477026,fixedlr,nobn,relu,manifold-mixup,1,/fixedlr/nobn/relu/manifold-mixup/saliency/1,6,193
0.616,0.9722414016723632,0.3215461,fixedlr,nobn,relu,manifold-mixup,10,/fixedlr/nobn/relu/manifold-mixup/saliency/10,6,194
0.55,0.9763322472572328,0.42687666,fixedlr,nobn,relu,manifold-mixup,11,/fixedlr/nobn/relu/manifold-mixup/saliency/11,6,195
0.633,0.9754844903945924,0.36645976,fixedlr,nobn,relu,manifold-mixup,12,/fixedlr/nobn/relu/manifold-mixup/saliency/12,6,196
0.532,0.9757062792778016,0.3296204,fixedlr,nobn,relu,manifold-mixup,13,/fixedlr/nobn/relu/manifold-mixup/saliency/13,6,197
1.436,0.9755088686943054,1.3009908,fixedlr,nobn,relu,manifold-mixup,2,/fixedlr/nobn/relu/manifold-mixup/saliency/2,6,198
1.302,0.9812616109848022,0.82656586,fixedlr,nobn,relu,manifold-mixup,3,/fixedlr/nobn/relu/manifold-mixup/saliency/3,6,199
